SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:0VSzREd1OjEWJ9tXoFHRQH,0.028,0.794,177693,7.633999999999999,0.637,1,0.0,4,0.0919,-6.29,0,84,2020-01-17,6,0.339,103.868,4,0.393,1
spotify:track:1M4qEo4HE3PRaCOM7EXNJq,0.0237,0.6759999999999999,207133,19.205,0.7709999999999999,0,7.000000000000002e-06,8,0.102,-3.675,1,89,2019-12-06,7,0.0483,99.048,4,0.569,1
spotify:track:2u3EyuCqqV31woqGvO9LBz,0.0174,0.823,205760,45.885,0.552,1,0.0,4,0.122,-7.57,0,84,2020-01-10,7,0.324,124.038,4,0.418,1
spotify:track:1iSqfoUFnQwV0QW1EfUit8,0.334,0.736,222997,8.88,0.369,1,0.0,9,0.126,-9.682,0,91,2019-11-22,10,0.0688,140.005,4,0.235,1
spotify:track:0DiDStADDVh3SvAsoJAFMk,0.108,0.795,183000,10.702,0.496,0,0.0,0,0.0645,-5.882999999999999,1,84,2019-06-07,9,0.0722,94.01,4,0.8740000000000001,1
spotify:track:0q2vG0UVuy6ajjcpkQHdZM,0.0169,0.852,216600,1.3839999999999997,0.752,1,0.0,1,0.394,-5.792999999999998,1,82,2020-01-17,10,0.0597,89.95,4,0.389,1
spotify:track:4TnjEaWOeW0eKTKIEvJyCa,0.123,0.784,159382,38.969,0.43,0,0.0,10,0.0887,-8.756,0,97,2018-10-05,10,0.0364,127.087,4,0.236,1
spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,0.389,0.742,209440,18.8,0.5529999999999999,1,0.0,8,0.0694,-8.98,1,83,2020-01-17,11,0.419,84.931,4,0.508,1
spotify:track:4SDgTLDYrJ2UrHbkRkg7MD,0.22,0.7170000000000001,151040,10.345999999999998,0.598,0,0.0,5,0.122,-5.613,0,80,2019-09-13,8,0.0809,153.905,4,0.496,1
spotify:track:3yOlyBJuViE2YSGn3nVE1K,0.018000000000000002,0.7240000000000001,170746,9.982000000000001,0.491,0,1.29e-05,8,0.0887,-6.024,1,93,2019-12-06,7,0.0296,105.046,4,0.383,1
spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,194088,12.094000000000001,0.425,0,0.13,7,0.1,-10.965,1,94,2019-03-29,7,0.375,135.128,4,0.562,1
spotify:track:56AMYGJzxBO6p8v0wEe9de,0.188,0.845,279907,11.860999999999999,0.631,1,0.0,7,0.0806,-8.206,0,83,2019-11-01,12,0.21600000000000005,111.983,4,0.545,1
spotify:track:3HWzoMvoF3TQfYg4UPszDq,0.11,0.715,173325,10.325999999999999,0.624,1,0.0,4,0.123,-3.0460000000000003,0,76,2019-04-19,9,0.114,158.08700000000005,4,0.412,1
spotify:track:3HVWdVOQ0ZA45FuZGSfvns,0.0912,0.7979999999999999,219947,5.135,0.675,0,0.0,6,0.0894,-5.041,1,88,2019-05-10,11,0.0442,101.956,4,0.8420000000000001,1
spotify:track:5aZQrb2TXWEh9uZR4HEY3r,0.225,0.5539999999999999,225253,28.39,0.755,0,0.0,2,0.301,-6.04,1,77,2019-11-08,13,0.0319,77.962,4,0.624,1
spotify:track:08dFHFTx6r67MTsYn5ilDR,0.677,0.706,186240,10.407,0.358,0,0.0,6,0.107,-8.331,1,79,2019-10-25,11,0.0348,75.991,4,0.478,1
spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,0.0687,0.474,189323,24.972,0.631,1,0.0,5,0.132,-5.884,0,90,2019-10-04,10,0.343,180.051,4,0.425,1
spotify:track:4jXl6VtkFFKIt3ycUQc5LT,0.8959999999999999,0.61,170360,18.722,0.0316,0,0.00461,9,0.108,-15.186,1,81,2020-01-17,10,0.0486,151.964,4,0.37,1
spotify:track:22vgEDb5hykfaTwLuskFGD,0.0427,0.8420000000000001,181027,8.094,0.7340000000000001,0,0.0,1,0.106,-5.065,0,86,2019-06-07,11,0.0588,137.958,4,0.952,1
spotify:track:7qvsl2pYzrsYgPeFBN5jxp,0.0856,0.7859999999999999,202333,29.359,0.6579999999999999,1,0.0,0,0.0689,-2.61,1,79,2019-08-15,11,0.0661,170.037,4,0.458,1
spotify:track:6ZvAXIWw3rw8WR0Xlmifri,0.0361,0.621,209110,3.374000000000001,0.7909999999999999,0,0.0,9,0.14300000000000002,-3.343,1,72,2019-05-20,9,0.0265,95.075,4,0.7340000000000001,1
spotify:track:0GQ5bFTVFFKpwNPc7KwQnB,0.0614,0.68,234653,1.3880000000000001,0.82,1,0.0,4,0.597,-4.197,0,83,2020-01-17,12,0.151,140.033,4,0.243,1
spotify:track:53F1MVa1BWUkTBbVqgVAfN,0.0808,0.565,181933,6.014999999999999,0.805,0,0.0,0,0.173,-4.457,1,76,2019-10-10,7,0.0489,76.04,4,0.8690000000000001,1
