SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:5xWGtivnXowpTCIWlljY9D,0.16899999999999998,0.24600000000000002,31092,0.19599999999999973,0.20600000000000002,0,0.972,10,0.474,-14.039000000000001,1,0,2014,3,0.0358,90.416,4,0.634,0
spotify:track:2xKj37vaIyCTyra3pxKvgq,0.945,0.483,210907,18.595,0.41200000000000003,0,0.8540000000000001,2,0.11699999999999999,-12.7,1,6,2009-10-27,9,0.0397,117.05,4,0.0659,0
spotify:track:6oR8PPhg36ooPGCMYfwzR3,0.667,0.19699999999999998,65867,10.105,0.376,0,0.8690000000000001,2,0.131,-11.562000000000001,0,1,2012-06-22,4,0.0311,97.71799999999999,3,0.14300000000000002,0
spotify:track:0a16kOa2tEA3iNjD9Hnh3D,0.005220000000000001,0.617,228000,4.946000000000001,0.9059999999999999,0,0.494,2,0.319,-7.016,1,0,2014-07-14,8,0.192,160.009,4,0.573,0
spotify:track:4ejy0n0eEwcIMHPLRk5TDP,0.924,0.0776,123585,35.472,0.16899999999999998,0,0.867,9,0.0604,-19.274,0,0,2018-09-16,8,0.0378,178.44299999999998,4,0.035,0
spotify:track:0FRdznoTuCa2VDJlKOOXrw,0.993,0.062,232613,22.244000000000003,0.00547,0,0.968,11,0.0667,-33.97,0,0,2013-03-12,13,0.0523,71.515,4,0.0348,0
spotify:track:20NxPZfikskr8waw1BzvX5,0.902,0.0982,133428,18.963,0.145,0,0.179,7,0.141,-14.942,1,3,2018-08-17,8,0.0373,173.73,3,0.0457,0
spotify:track:7qObKrLCHbrMQMw2AxG411,0.409,0.0906,188432,16.881,0.33799999999999997,0,0.433,9,0.106,-13.172,1,0,2010-10-12,6,0.0367,79.624,4,0.126,0
spotify:track:0R8fU9MYjiCXAxVL0wtNkB,0.000637,0.642,256702,2.8509999999999986,0.61,1,0.0,6,0.18600000000000003,-12.84,1,0,2011-01-10,11,0.24100000000000002,140.003,4,0.32799999999999996,0
spotify:track:6osnxns3UgccaxqT9iNr5c,0.711,0.493,416947,5.237,0.536,0,0.000487,2,0.203,-9.901,0,1,2012-01-04,20,0.064,104.601,4,0.8029999999999999,0
spotify:track:4hT950e44MAJGljN3RsbwY,0.32299999999999995,0.557,102773,26.383000000000003,0.45299999999999996,0,0.498,0,0.10300000000000001,-14.217,1,0,2017-07-03,4,0.026000000000000002,81.172,4,0.708,0
spotify:track:3h3OEm5uyN9GJRs1yIYwXO,0.00165,0.475,266053,7.072,0.861,1,0.0,6,0.42,-3.263,1,26,2016-12-02,13,0.34299999999999997,177.24400000000003,4,0.428,0
spotify:track:1L4H16nTGpNYAXdIeLxlDo,0.677,0.413,418787,24.985,0.365,0,0.6559999999999999,0,0.113,-15.792,1,20,2008-07-15,15,0.0291,89.984,4,0.0843,0
spotify:track:160hRZHQLutksZiQQLwjY5,9.91e-05,0.317,251193,5.4030000000000005,0.943,1,0.0031899999999999997,5,0.0901,-10.88,1,0,2020-01-28,12,0.0611,96.262,4,0.314,0
spotify:track:6UXty2OyQr0IppLyfzZmwd,0.99,0.271,439375,46.79,0.256,0,0.868,0,0.0859,-16.709,1,0,2017-03-08,12,0.0379,154.52200000000002,4,0.19699999999999998,0
spotify:track:4c1TiMCekbt4m6eT8xHTBB,0.16699999999999998,0.634,159606,7.5390000000000015,0.8959999999999999,0,0.0,4,0.27399999999999997,-3.2060000000000004,1,0,2011-02-01,8,0.0509,105.794,4,0.75,0
spotify:track:7bNrz4vib5SrleGXmbaDv3,0.00822,0.5379999999999999,201707,16.301000000000002,0.722,0,0.00604,4,0.11900000000000001,-9.924,1,0,2005,9,0.0388,152.08700000000002,4,0.638,0
spotify:track:0ldtHkBgSzyA6qZlsOjSHV,0.65,0.0759,181493,13.819,0.5379999999999999,0,0.919,0,0.12300000000000001,-12.162,0,0,2009-09-29,7,0.0363,80.376,3,0.038,0
spotify:track:4WnlGkUMsc3erlNrdIJxSF,0.9209999999999999,0.174,424813,24.732,0.15,0,0.91,5,0.139,-15.565999999999999,1,0,2010-07-13,17,0.034,81.20100000000001,4,0.0388,0
spotify:track:1F5mwHv4saITBQJPR07wO1,0.0004980000000000001,0.365,271966,8.679,0.9470000000000001,0,0.0,6,0.23800000000000002,-4.612,1,0,2017-10-13,10,0.0702,90.22,4,0.38299999999999995,0
spotify:track:3irVja3ItSwyFszMEbQ34w,0.857,0.361,385827,28.640000000000004,0.237,0,0.598,9,0.111,-8.557,0,0,2006-12-16,15,0.0333,116.288,4,0.21,0
