SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:0HxAj6c26lrSb74kDawK4U,0.847,0.40399999999999997,226699,19.574,0.332,0,0.705,7,0.0894,-11.467,1,1,2016-12-09,11,0.0328,132.101,4,0.326,0
spotify:track:5JM7AfVlPBJyyZ0f3Eeb5N,0.9840000000000001,0.387,193460,21.626,0.009940000000000001,0,0.915,7,0.0628,-34.259,0,0,2015-04-10,9,0.0461,120.03299999999999,3,0.151,0
spotify:track:30l67MU5BoPphRdaRRMGyW,0.0064,0.716,208293,10.55,0.314,0,0.309,11,0.128,-15.565,0,0,2002,8,0.0307,103.056,4,0.201,0
spotify:track:2qdn3aXg41M82erHAADIDM,0.293,0.805,185747,18.573,0.653,1,0.0,1,0.157,-5.603,0,0,2012-04-20,8,0.33399999999999996,176.095,4,0.8440000000000001,0
spotify:track:5fyVw570XUJmZKw14uWPFQ,0.8690000000000001,0.326,267427,23.188000000000002,0.122,0,0.938,0,0.0924,-23.528000000000002,0,1,2011-08-30,13,0.0382,212.77599999999998,4,0.15,0
spotify:track:5Lj44eIApzASeiUrSmBPY9,0.000362,0.179,196284,4.49,0.823,0,0.000153,6,0.162,-5.249,1,0,2014-04-03,8,0.0655,168.475,4,0.5479999999999999,0
spotify:track:5UE1l5fozj8mkaZMk1xmBX,0.509,0.128,465287,32.054,0.381,0,0.878,2,0.106,-13.424000000000001,0,41,2019-12-18,12,0.0349,53.888999999999996,3,0.0399,0
spotify:track:4kPBXT6H8ftKxSiLc9DRJD,9.49e-05,0.445,169273,6.674,0.941,1,0.002,7,0.0642,-4.099,0,0,2013-04-12,7,0.0809,92.431,4,0.545,0
spotify:track:4k9Qm0N6WrsNekXDSW9hif,0.8909999999999999,0.46399999999999997,739532,24.149,0.47600000000000003,0,0.9009999999999999,11,0.467,-20.618000000000002,1,0,2011-08-16,26,0.0572,117.367,3,0.207,0
spotify:track:60jAPiRw3NLeyeBdfZrZPs,0.129,0.78,265823,8.801,0.79,0,0.0,0,0.095,-8.384,1,0,2008-01-12,12,0.11699999999999999,125.05799999999999,4,0.45799999999999996,0
spotify:track:2rTjPOpI1jLgEFhjTuRNgh,0.461,0.298,219667,27.349,0.625,0,0.0629,9,0.0913,-9.764,1,0,2005-09-06,9,0.0877,115.60600000000001,4,0.132,0
spotify:track:71d9Ckwo26YOUygLvJEPUf,0.0507,0.585,80000,11.453,0.382,0,0.846,1,0.311,-11.56,0,0,2019-03-30,4,0.139,77.98,4,0.6459999999999999,0
spotify:track:3Hgdz3Yso0O1hxE9eAfNJi,0.462,0.457,305293,17.609999999999996,0.207,1,0.94,10,0.0839,-22.695999999999998,1,0,2018-08-20,9,0.0493,79.991,4,0.22899999999999998,0
spotify:track:58RfDYysac2ZFfDLq6anKI,0.00134,0.48700000000000004,126261,12.34,0.64,0,0.87,2,0.18100000000000002,-7.375,0,3,2017-03-05,5,0.0663,128.726,4,0.133,0
spotify:track:2V8KsW8SgNYJOIvk2EBS0U,0.0152,0.526,337973,23.019,0.6890000000000001,0,0.0251,5,0.0725,-10.01,1,0,2004-10-15,15,0.042,110.948,4,0.675,0
spotify:track:42SsjtqQe2Nc3kphcLWuf5,0.11900000000000001,0.526,58096,16.261000000000006,0.8320000000000001,0,0.738,4,0.0972,-6.192,1,2,2016-03-08,4,0.0365,90.009,4,0.114,0
spotify:track:78cY0RliL4iqFdNRjhuPQl,0.8190000000000001,0.168,20003,7.0089999999999995,0.431,0,0.794,7,0.153,-14.19,1,0,2013-12-03,2,0.0422,152.172,4,0.19,0
spotify:track:0nonOuSdXms9gsgE9iTQAu,0.929,0.075,466733,21.118,0.0918,0,0.922,5,0.1,-20.05,0,0,2018-08-31,21,0.0369,77.298,3,0.0341,0
spotify:track:2dMm7K0ygRC0tCDYsVA6zo,0.629,0.276,34080,13.839999999999998,0.385,0,0.932,3,0.1,-9.935,1,1,2013-10-12,2,0.0348,73.333,3,0.326,0
spotify:track:3dQXG9xtb0IricFbR2bvW2,0.8190000000000001,0.634,135480,16.403,0.29100000000000004,0,0.0,2,0.08,-8.975,1,21,2006-07-25,7,0.0636,91.165,4,0.511,0
spotify:track:1LQGk1e9wbpaWMDG47e0vl,0.12,0.742,59200,2.123,0.637,0,6.659999999999999e-05,2,0.094,-4.13,1,17,2011-01-01,3,0.0325,76.648,4,0.8170000000000001,0
spotify:track:795KuTTHScOQZAMXsPuPlP,0.965,0.29600000000000004,177733,15.3,0.129,0,0.0303,8,0.341,-15.892000000000001,1,2,2014-10-07,6,0.0355,131.15,4,0.16,0
spotify:track:1od0Q5ijhd6Cnvgrkwu8b7,0.6659999999999999,0.285,305440,13.239,0.285,0,0.0268,0,0.145,-12.218,1,0,2010-09-14,18,0.0301,109.565,4,0.11,0
spotify:track:60QzEQ6yMKga4nE6wjHjI1,0.265,0.532,173000,1.965,0.9420000000000001,0,3.29e-06,7,0.272,-4.4510000000000005,1,0,2003-09-23,10,0.0514,159.547,4,0.872,0
spotify:track:3bbhCzGiNfrhJoEmz68XHg,0.136,0.6809999999999999,217143,26.426,0.802,0,6.33e-06,11,0.121,-8.668,0,18,2019-08-30,9,0.0878,104.98100000000001,4,0.589,0
spotify:track:3vpM5xw18tBi5cvOPWK9EV,0.912,0.212,247293,20.738000000000003,0.19899999999999998,0,0.9259999999999999,7,0.109,-16.158,1,2,2008-10-17,9,0.0356,134.99,4,0.141,0
spotify:track:4ndgIdxfmmQChmRv8zljp1,0.9840000000000001,0.461,168624,8.271999999999998,0.0585,0,0.856,5,0.109,-19.975,0,0,2013-09-03,8,0.0375,96.351,4,0.34,0
spotify:track:3GPlrCxERGjDG6ShBpcvnz,0.973,0.449,134813,29.158,0.0821,0,0.914,11,0.162,-23.107,0,7,2015-08-28,5,0.0345,135.02,4,0.16399999999999998,0
spotify:track:5TAnlxRCNQi3NTlhJwRlK5,0.958,0.294,93493,31.138,0.121,0,0.943,9,0.145,-15.847999999999999,0,12,2010-05-26,6,0.0366,127.87200000000001,4,0.0498,0
spotify:track:4HjnznInnrrNc7ilwfCVcq,0.9059999999999999,0.0737,494000,31.783,0.261,0,0.866,11,0.0871,-13.908,1,2,2002,22,0.0368,77.605,4,0.0345,0
spotify:track:6nvrfYtrS9HIpLLeZQA82t,0.184,0.607,173800,2.459,0.813,0,0.0,0,0.20199999999999999,-4.54,1,0,2015-08-25,10,0.261,179.863,4,0.955,0
spotify:track:0xSfpzuYE4JYlOJdMNMMCX,0.743,0.7040000000000001,72423,5.199999999999998,0.502,0,0.903,7,0.172,-10.963,1,0,2019-02-01,5,0.0371,109.98200000000001,4,0.368,0
spotify:track:1AYhviXWranmZkJrUycyi3,0.664,0.135,226267,24.37,0.259,0,0.247,5,0.105,-12.699000000000002,1,0,2011-04-01,8,0.0345,78.003,3,0.0595,0
spotify:track:1UCquGhDpozN8WeZC8R8nU,0.41600000000000004,0.8590000000000001,229653,10.337,0.877,0,0.0,7,0.32799999999999996,-3.574,1,0,2018-06-27,9,0.29100000000000004,107.073,4,0.649,0
spotify:track:2kiwwvBq3K9gf4Y0J5oNuZ,0.054000000000000006,0.591,58848,0.971,0.267,0,0.377,8,0.107,-15.436,1,8,2015-11-20,3,0.0536,119.76299999999999,3,0.722,0
spotify:track:6xLSK457lnLzZzHIxlJD0j,0.0009029999999999999,0.887,92693,3.109,0.33399999999999996,0,0.395,0,0.22899999999999998,-9.402999999999999,1,0,2019-09-26,5,0.151,89.00399999999999,4,0.693,0
spotify:track:1CFOXTc3AHS4u6MKO5DlIy,0.541,0.531,165040,5.5550000000000015,0.254,0,3.47e-05,7,0.0949,-11.292,1,2,2007-12-07,8,0.0299,103.87799999999999,4,0.72,0
spotify:track:1vLq8OKMeOCSmokxGNai6j,0.145,0.583,144320,4.884999999999999,0.8959999999999999,0,0.00021400000000000002,7,0.138,-6.627000000000001,1,0,2006-08-08,7,0.04,144.05,4,0.7090000000000001,0
spotify:track:33X40hfGqd4YISU3Apiv50,0.18899999999999997,0.51,144840,14.412,0.547,0,0.243,4,0.135,-15.095999999999998,0,0,2013-09-19,8,0.0323,99.176,4,0.8959999999999999,0
spotify:track:6Mc25HwPNntEvsW4eqSESu,0.621,0.41700000000000004,232040,24.001,0.21899999999999997,0,0.9109999999999999,7,0.0855,-13.697000000000001,1,9,2009-01-01,8,0.0327,129.925,4,0.0369,0
spotify:track:0AWk5OihxFINWwVAOq4jH3,0.7070000000000001,0.444,92568,33.92700000000001,0.254,0,0.257,7,0.122,-18.999000000000002,1,1,2013-09-01,4,0.052000000000000005,123.602,4,0.14400000000000002,0
spotify:track:3Hi4vF0GXRLgb14LE438gG,0.000283,0.633,319059,13.54,0.8190000000000001,0,0.878,1,0.253,-5.722,1,0,2017-02-17,6,0.0365,114.669,5,0.038,0
spotify:track:4ZdCftK84n6AQ95WKleZ9r,0.0387,0.451,400707,14.479,0.843,0,1.1e-06,2,0.204,-6.343999999999999,1,19,2001-01-01,21,0.271,134.569,4,0.349,0
spotify:track:5JZwbnPieUYnLL6hLwGfSR,0.499,0.722,364560,7.556,0.718,0,0.00563,0,0.13699999999999998,-8.437999999999999,1,13,2018-11-05,20,0.042,100.98899999999999,4,0.9490000000000001,0
spotify:track:0H96qZQyE8dC8Ccdqi32Hg,0.6609999999999999,0.379,192467,25.241,0.207,0,0.0137,10,0.0935,-11.203,1,0,2018-07-02,9,0.0338,129.826,3,0.248,0
spotify:track:6999I2pFv7hWEu7z63WvS7,0.0145,0.0631,128867,12.78,0.218,0,0.745,0,0.129,-14.467,1,0,2009-10-02,8,0.04,63.903,5,0.0389,0
spotify:track:4GDPggSNakhfOqPUdQfMhc,0.359,0.153,107500,43.956,0.257,0,0.359,0,0.105,-11.652000000000001,1,1,2013-05-20,5,0.035,71.558,3,0.049,0
spotify:track:5vq1ewCBO4zDCkW2JTarvN,0.00316,0.466,194461,3.4430000000000014,0.599,1,0.0,1,0.473,-9.764,1,0,2018-06-12,9,0.0448,139.789,4,0.0819,0
spotify:track:5gjQbZZfHtqsvkeLmrqDsN,0.48100000000000004,0.715,223533,21.11,0.521,0,3.74e-06,2,0.155,-7.622999999999999,0,0,2012-07-01,9,0.217,160.036,4,0.6679999999999999,0
spotify:track:17PB3uXFLupZiiIoDlq8Qh,0.46799999999999997,0.272,61240,51.278,0.254,0,0.9,0,0.555,-13.335999999999999,1,1,2008-12-02,4,0.0304,85.795,3,0.257,0
spotify:track:71cvcf0BWDtHymS7UojWRj,0.159,0.396,282280,12.844,0.718,0,0.449,0,0.0866,-7.827000000000001,1,0,2014-10-13,10,0.0319,132.048,4,0.0778,0
spotify:track:5i0StUV0Odq00VCzAywdQn,0.992,0.131,123200,2.66,0.302,0,0.353,9,0.2,-12.47,1,7,2015-01-01,5,0.0372,73.628,4,0.0716,0
spotify:track:1xTA2d8b3ENGRechInrGcc,0.0829,0.728,173041,26.432,0.715,0,0.5870000000000001,10,0.102,-7.7989999999999995,0,3,2011-11-17,10,0.0437,138.02200000000002,4,0.255,0
spotify:track:2dUpLqBCcUOsetMRY43XqM,0.331,0.772,133840,6.112000000000001,0.603,0,0.0,0,0.128,-5.537999999999999,1,38,2016-09-16,8,0.0378,123.979,4,0.775,0
spotify:track:4X2vaa2jQxqrPjokK37iqJ,0.47700000000000004,0.45399999999999996,227853,21.408,0.649,0,6.06e-06,5,0.0861,-8.809,0,1,2001,10,0.127,179.90200000000002,3,0.301,0
spotify:track:79EM4q1MM1XOVTWKxePNLb,0.7759999999999999,0.631,27560,2.455000000000001,0.498,0,0.0113,9,0.106,-9.133,0,1,2018-03-23,2,0.0444,119.941,4,0.237,0
spotify:track:2lWiPH8M33AaXuEUsgR2Jz,0.8240000000000001,0.18,144827,28.73,0.115,0,0.9129999999999999,4,0.36700000000000005,-17.145,1,0,2017-01-26,7,0.0337,86.161,4,0.0873,0
spotify:track:6K6OJU7nomAqXtHtg5dbvt,0.754,0.746,225306,10.757,0.369,0,0.000278,1,0.0722,-12.227,1,0,2018-06-14,13,0.053,100.699,4,0.8009999999999999,0
spotify:track:4awibcrpTXZ5Gl5rwiFdJS,0.40399999999999997,0.22699999999999998,72200,3.985,0.45299999999999996,0,0.925,5,0.125,-9.773,0,0,2009,3,0.0364,105.51100000000001,3,0.349,0
spotify:track:28Ow9ztrZ9wfVWSiAUVveF,0.00020899999999999998,0.585,234067,21.57,0.457,0,0.21100000000000002,7,0.109,-12.78,1,0,2014-09-17,16,0.0337,125.111,4,0.221,0
spotify:track:1qpPMWoiiff5PnORdzIKmn,0.0036799999999999997,0.405,157568,10.43,0.551,0,0.415,1,0.369,-14.947000000000001,1,0,2012-08-01,8,0.0347,134.94799999999998,4,0.067,0
spotify:track:3SdZVpW2pjFYlK865sd3It,0.0624,0.456,151533,11.390999999999998,0.414,0,0.9059999999999999,1,0.0787,-11.237,0,0,2012-12-04,9,0.0318,111.821,4,0.105,0
spotify:track:3EcZqoXh5unWJkdTz2mJT5,0.938,0.263,275107,19.985000000000007,0.2,0,0.685,5,0.7340000000000001,-20.965,1,1,2016-12-03,11,0.0762,149.377,4,0.11699999999999999,0
spotify:track:3ZkPphnRcbKpbK5E6TKKSR,0.434,0.309,62933,14.375,0.868,0,0.868,4,0.11800000000000001,-5.599,1,0,2004-03-04,3,0.0574,176.014,4,0.114,0
spotify:track:3zd1KEImLnyRarGkXZ5FJA,0.253,0.644,201551,17.479,0.6890000000000001,0,0.0,3,0.0872,-7.932,1,7,2013-02-27,13,0.0291,130.071,4,0.785,0
spotify:track:1YbPYFygLuPKhFJCY5GBXz,0.0268,0.11599999999999999,257071,7.4849999999999985,0.6829999999999999,0,0.00417,6,0.0807,-5.63,0,0,2016-03-26,8,0.0394,196.048,4,0.19699999999999998,0
spotify:track:7CGsVta3QIRRqnZs7jo9nU,0.6709999999999999,0.191,134800,18.375,0.489,0,0.945,9,0.45299999999999996,-13.263,1,2,2003-01-01,7,0.0463,83.399,4,0.0968,0
spotify:track:1e3BVew7tdEK0ToyLV3dq8,0.534,0.657,179392,42.825,0.569,0,0.00108,5,0.10099999999999999,-7.242000000000001,0,1,2014-04-18,7,0.0277,127.14399999999999,4,0.809,0
spotify:track:0JzPqXMaJ7qqp3kVxe6YjE,0.498,0.37799999999999995,111301,11.89,0.22699999999999998,0,0.765,5,0.102,-15.662,1,0,2018-09-20,4,0.0409,78.665,4,0.6659999999999999,0
spotify:track:51DuKOHq8EsBBl5Uhfv5VK,0.221,0.309,107227,21.92,0.713,0,0.893,8,0.128,-13.112,1,23,2012-01-01,5,0.0454,169.81400000000002,3,0.207,0
spotify:track:05HhrL29d7ZecKGqnRj6pE,2.51e-05,0.327,197957,16.872,0.9309999999999999,0,0.428,5,0.41600000000000004,-4.98,1,1,2013-05-31,10,0.0842,157.968,3,0.204,0
spotify:track:25ZcKOfzgTaDxwPdlff5tS,0.9840000000000001,0.0735,220814,25.34,0.147,0,0.9670000000000001,7,0.0796,-15.116,1,10,2016-09-04,9,0.0406,78.27199999999999,3,0.184,0
spotify:track:6boLuxOJ9DKYW5VCI6Dh86,0.19899999999999998,0.36,184580,2.178000000000001,0.556,0,0.7020000000000001,1,0.38799999999999996,-16.048,1,0,2015-03-16,10,0.193,179.989,3,0.187,0
